title;content;attachment;creation_date;last_change_date;user_id
El Principito;"Edición oficial en tamaño bolsillo del clásico de la literatura universal, El Principito. Con las preciosas acuarelas del autor, este clásico de la literatura universal es imprescindible para niños y adultos.

«Viví así, solo, sin nadie con quien hablar verdaderamente, hasta que tuve una avería en el desierto del Sahara, hace seis años. Algo se había roto en mi motor. Y como no tenía conmigo ni mecánico ni pasajeros, me dispuse a realizar, solo, una reparación difícil. Era, para mí, cuestión de vida o muerte. Tenía agua apenas para ocho días.

La primera noche dormí sobre la arena a mil millas de todatierra habitada. Estaba más aislado que un náufrago sobre una balsa en medio del océano. Imaginaos, pues, mi sorpresa cuando, al romper el día, me despertó una extraña vocecita que decía:

-Por favor..., ¡dibújame un cordero!

-¿Eh!?

-Dibújame un cordero...»";674bc7db8d620bfd028615fe;1729559493000;1732051393000;18
El monje que vendió su Ferrari;"A través de sus páginas, conocemos la extraordinaria historia de Julian Mantle, un abogado de éxito que, tras sufrir un ataque al corazón, debe afrontar el gran vacío de su existencia. Inmerso en esta crisis existencial, Julian toma la radical decisión de vender todas sus pertenencias y viajar a la India. Es en un monasterio del Himalaya donde aprende las sabias y profundas lecciones de los monjes sobre la felicidad, el coraje, el equilibrio y la paz interior.

Con esta historia tan especial e inolvidable, Robin Sharma nos enseña, paso a paso, una nueva manera de enfocar la vida personal, profesional y familiar. Nos muestra lo importante que es emprender un recorrido vital con una dirección clara, con pasión y armonía interior.";674bc7dc8d620bfd02861614;1702888261000;1732051393000;27
"Anna Karénina (edición conmemorativa) ";"La historia de Anna Karénina, junto a la de Madame Bovary, es la del adulterio más célebre de la literatura. El enamoramiento de la protagonista, casada con el alto funcionario Karénin, por el atractivo militar Vronski y el estrepitoso romance que con él vive son el eje de una novela que es mucho más que la pulida tragedia de una caída en desgracia: es un esmerado y delicado retrato de todo un tiempo y un lugar, la vivisección de una sociedad en la que la felicidad de algunos convive con la desdicha de otros.";674bc7dd8d620bfd0286162a;1717676146000;1732051393000;3
"Reina roja (Antonia Scott 1) ";"Antonia Scott es especial. Muy especial.

No es policía ni criminalista. Nunca ha empuñado un arma ni llevado una placa, y, sin embargo, ha resuelto decenas de crímenes.

Pero hace un tiempo que Antonia no sale de su ático de Lavapiés. Las cosas que ha perdido le importan mucho más que las que esperan ahí fuera.

Tampoco recibe visitas. Por eso no le gusta nada, nada, cuando escucha unos pasos desconocidos subiendo las escaleras hasta el último piso.

Sea quien sea, Antonia está segura de que viene a buscarla.

Y eso le gusta aún menos.";674bc7dd8d620bfd0286162e;1721939881000;1732051393000;6
"Sapiens. De animales a dioses ";"De la mano de uno de los historiadores más interesantes de la actualidad, he aquí la fascinante interpretación de Yuval Noah Harari sobre la historia de la humanidad. Bestseller nacional e internacional, este libro explora las formas en que la biología y la historia nos han definido y han mejorado nuestra comprensión de lo que significa ser «humano».

Hace 70.000 años al menos seis especies de humanos habitaban la Tierra. Hoy solo queda una, la nuestra: Homo Sapiens. ¿Cómo logró imponerse en la lucha por la existencia? ¿Por qué nuestros ancestros recolectores se unieron para crear ciudades y reinos? ¿Cómo llegamos a creer en dioses, en naciones o en los derechos humanos, a confiar en el dinero, en los libros o en las leyes? ¿Cómo acabamos sometidos a la burocracia, a los horarios y al consumismo? ¿Y cómo será el mundo en los milenios venideros?

En Sapiens, Yuval Noah Harari traza una breve historia de la humanidad, desde los primeros humanos que caminaron sobre la Tierra hasta los radicales y a veces devastadores avances de las tres grandes revoluciones que nuestra especie ha protagonizado: la cognitiva, la agrícola y la científica. A partir de hallazgos de disciplinas tan diversas como la biología, la antropología o la economía, Harari explora cómo las grandes corrientes de la historia han modelado nuestra sociedad, los animales y las plantas que nos rodean e incluso nuestras personalidades. ¿Hemos ganado en felicidad a medida que ha avanzado la historia? ¿Seremos capaces de liberar alguna vez nuestra conducta de la herencia del pasado? ¿Podemos hacer algo para influir en los siglos futuros?

Audaz, ambicioso y provocador, este libro cuestiona todo lo que creíamos saber sobre el ser humano: nuestros orígenes, nuestras ideas, nuestras acciones, nuestro poder... y nuestro futuro.";674bc7dd8d620bfd02861630;1715651429000;1732051393000;26
"El jardín olvidado ";"Un terrible secreto sale a la luz...

En la noche de su veintiún cumpleaños, Nell O'Connor descubre que es adoptada, lo que cambiará su vida para siempre. Décadas más tarde, se embarca en una búsqueda de la verdad de sus antepasados que la lleva a la ventosa costa de Cornualles.

Una misteriosa herencia que llega en el siglo XXI...

A la muerte de Nell, su nieta Casandra recibe una inesperada herencia: una cabaña y su olvidado jardín en las tierras de Cornualles que es conocido por la gente por los secretos que estos esconden. Aquí es donde Casandra descubrirá finalmente la verdad sobre la familia y resolverá el misterio, que se remonta a un siglo atrás.

La crítica ha dicho...
«Memorias, intriga y secretos de familia entretejidos en un absorbente laberinto de tramas complementarias que nos arrastran a una lectura llena de fuerza, ternura y emoción. Con un estilo ágil y envolvente, Kate Morton nos conmueve con una magnífica historia difícil de olvidar.»
María Dueñas

«Kate Morton, [...] en la tradición de literatura clásica anglosajona, es el último fenómeno literario. [...] Atrapa a lectores con lazo por su manera de contar gustosa, minuciosa, victoriana.»
El País Semanal

«El jardín olvidado reúne todos los elementos de una auténtica novela romántica inglesa que tanto gusta a un tipo de lectores. [Presenta] claras evocaciones a Charles Dickens, Jane Austen o las hermanas Brönte.»
La Vanguardia";674bc7dd8d620bfd02861632;1730299302000;1732051393000;1
"Orgullo y prejuicio (edición conmemorativa) ";"A lo largo de una trama que discurre con gran ritmo y precisión, Jane Austen reúne una galería de personajes característicos de toda una época: la dama empeñada en casar a sus hijas con el mejor partido de la región, las hermanas que se debaten con sus vaivenes sentimentales, el clérigo adulador que peca de oportunista... El estudio de caracteres y el análisis de las relaciones humanas basadas en la costumbre, elementos esenciales de la narrativa de la autora, alcanzan en Orgullo y prejuicio cotas de maestría insuperable.

La presente edición incluye una detallada cronología de la autora. Asimismo, recupera la introducción original en Penguin Clásicos de Tony Tanner, que desarrolló su carrera como catedrático de literatura inglesa y norteamericana en la Universidad de Cambridge, y cuyas agudas reflexiones sobre Jane Austen son la mejor guía para adentrarse en el universo literario de esta autora.";674bc7dd8d620bfd02861634;1720764450000;1732051393000;6
"El nombre del viento (Crónica del asesino de reyes 1) ";"En una posada en tierra de nadie, un hombre se dispone a relatar, por primera vez, la auténtica historia de su vida. Una historia que únicamente él conoce y que ha quedado diluida tras los rumores, las conjeturas y los cuentos de taberna que le han convertido en un personaje legendario a quien todos daban ya por muerto: Kvothe... músico, mendigo, ladrón, estudiante, mago, héroe y asesino.

Ahora va a revelar la verdad sobre sí mismo. Y para ello debe empezar por el principio: su infancia en una troupe de artistas itinerantes, los años malviviendo como un ladronzuelo en las calles de una gran ciudad y su llegada a una universidad donde esperaba encontrar todas las respuestas que había estado buscando.

«Viajé, amé, perdí, confié y me traicionaron».

«He robado princesas a reyes agónicos. Incendié la ciudad de Trebon. He pasado la noche con Felurian y he despertado vivo y cuerdo. Me expulsaron de la Universidad a una edad a la que a la mayoría todavía no los dejan entrar. He recorrido de noche caminos de los que otros no se atreven a hablar ni siquiera de día. He hablado con dioses, he amado a mujeres y he escrito canciones que hacen llorar a los bardos.

«Me llamo Kvothe. Quizá hayas oído hablar de mí».

La crítica ha dicho...
«Una estupenda y fuera de lo común novela de aventuras fantásticas».
Justo Navarro, El País

«Sin duda El nombre del viento se convertirá en un clásico».
The Times

«Un libro para quien conoce el mágico poder de las palabras».
Ricard Ruiz Garzón, El Periódico de Catalunya

«Una aventura insólita y preciosa. Puntuación: Sobresaliente».
Manu González, Qué Leer

«No sucede a menudo, pero El nombre del viento de Patrick Rothfuss sí es tan bueno como dicen las reseñas».
Locus";674bc7de8d620bfd02861636;1730798273000;1732051393000;19
"Harry Potter y la piedra filosofal (Harry Potter 1) ";"«Con las manos temblorosas, Harry le dio la vuelta al sobre y vio un sello de lacre púrpura con un escudo de armas: un león, un águila, un tejón y una serpiente, que rodeaban una gran letra H.»

Harry Potter nunca ha oído hablar de Hogwarts hasta que empiezan a caer cartas en el felpudo del número 4 de Privet Drive. Llevan la dirección escrita con tinta verde en un sobre de pergamino amarillento con un sello de lacre púrpura, y sus horripilantes tíos se apresuran a confiscarlas. Más tarde, el día que Harry cumple once años, Rubeus Hagrid, un hombre gigantesco cuyos ojos brillan como escarabajos negros, irrumpe con una noticia extraordinaria: Harry Potter es un mago, y le han concedido una plaza en el Colegio Hogwarts de Magia y Hechicería. ¡Está a punto de comenzar una aventura increíble!";674bc7de8d620bfd02861638;1727537172000;1732051393000;19
"Invisible ";"¿Quién no ha deseado alguna vez ser invisible?

¿Quién no ha deseado alguna vez dejar de serlo?

El problema es que nunca he llegado a controlar bien ese poder:

A veces, cuando más ganas tenía de ser invisible, era cuando más gente me veía, y en cambio, cuando deseaba que todos me vieran, era cuando a mi cuerpo le daba por desaparecer.

Reseñas:
«Un libro que nos muestra poco a poco las piezas de un puzle que nosotros, como lectores, debemos ordenar para obtener una visión completa de la historia que se está contando. Duro, real y necesario. Os lo recomiendo muchísimo.»
IG El caos literario

«Este libro te hace pensar y querer ser mejor persona.»
IG Lioncourt

«Un libro que me ha encantado. Una historia conmovedora, totalmente necesaria y que te llega al corazón.»
IG Iris de Asomo

Premios:
Eloy Moreno, con su novela Invisible, es el ganador del I Premio Yoleo de lectura para jóvenes, otorgado por la Plataforma YOLEO.club, que promueve la lectura entre los más jóvenes.

En los blogs...
«Una novela desgarradoramente auténtica que se siente y se sufre a cada página. Recomendadísima, sin ningún límite de edad. Una novela que te abre los ojos a una realidad, que poco tiene de ficción.»
Blog Érase un libro";674bc7db8d620bfd02861600;1723347271000;1732051393000;17
